Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/2,Datasets/BTC-2021-minute.csv,False,14,150,30,GRU,Close-,5000,174.19,0.28,0.998,0.001230660593137145,5.418440923676826e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,15,150,30,GRU,Close-,5000,189.04,0.31,0.998,0.0011632493697106838,8.215298294089735e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,16,150,30,GRU,Close-,5000,195.43,0.33,0.998,0.0010958221973851323,9.295914060203359e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,17,150,30,GRU,Close-,5000,173.44,0.27,0.999,0.0010352947283536196,5.3160427341936156e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,18,150,30,GRU,Close-,5000,169.32,0.26,0.999,0.0009819951374083757,4.47155034635216e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,19,150,30,GRU,Close-,5000,166.38,0.26,0.999,0.0009347732993774116,3.887004641001113e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,20,150,30,GRU,Close-,5000,164.13,0.25,0.999,0.0008859564550220966,3.5128807212458923e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,21,150,30,GRU,Close-,5000,172.32,0.27,0.999,0.0008408284047618508,5.061701813247055e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,22,150,30,GRU,Close-,5000,163.68,0.25,0.999,0.0008065096335485578,3.385581658221781e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,23,150,30,GRU,Close-,5000,176.93,0.29,0.998,0.0007674237713217735,5.88666953262873e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,24,150,30,GRU,Close-,5000,168.12,0.26,0.999,0.0007367799407802522,4.303228706703521e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,25,150,30,GRU,Close-,5000,163.68,0.25,0.999,0.0007020205957815051,3.4576205507619306e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,26,150,30,GRU,Close-,5000,185.58,0.31,0.998,0.0006711261812597513,7.231859490275383e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,27,150,30,GRU,Close-,5000,163.46,0.25,0.999,0.0006506073987111449,3.4392298402963206e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,28,150,30,GRU,Close-,5000,188.57,0.32,0.998,0.0006170934066176414,7.754563557682559e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,29,150,30,GRU,Close-,5000,165.68,0.26,0.999,0.0005964893498457968,3.858160198433325e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,30,150,30,GRU,Close-,5000,161.95,0.25,0.999,0.0005720177432522178,3.166216629324481e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,31,150,30,GRU,Close-,5000,175.92,0.28,0.998,0.0005479443352669477,5.717812018701807e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,32,150,30,GRU,Close-,5000,171.99,0.27,0.999,0.0005284282378852367,5.1090799388475716e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,33,150,30,GRU,Close-,5000,164.34,0.25,0.999,0.0005072880303487182,3.651629958767444e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,34,150,30,GRU,Close-,5000,178.72,0.29,0.998,0.0004913685261271894,6.000587382004596e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,35,150,30,GRU,Close-,5000,165.5,0.26,0.999,0.00047426519449800253,3.8634254451608285e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,36,150,30,GRU,Close-,5000,163.83,0.25,0.999,0.00045664768549613655,3.532204937073402e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,37,150,30,GRU,Close-,5000,163.97,0.25,0.999,0.0004407476226333529,3.612181171774864e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,38,150,30,GRU,Close-,5000,164.71,0.25,0.999,0.00042737784679047763,3.7588775740005076e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,39,150,30,GRU,Close-,5000,165.2,0.26,0.999,0.0004138602234888822,3.8634541851934046e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,40,150,30,GRU,Close-,5000,164.27,0.25,0.999,0.00040092362905852497,3.687031858135015e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,41,150,30,GRU,Close-,5000,164.7,0.25,0.999,0.00039267484680749476,3.722065957845189e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,42,150,30,GRU,Close-,5000,163.04,0.25,0.999,0.0003809323243331164,3.4168926504207775e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,43,150,30,GRU,Close-,5000,173.17,0.28,0.999,0.0003707846626639366,5.2564500947482884e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,44,150,30,GRU,Close-,5000,173.23,0.28,0.999,0.0003616592148318887,5.3176714573055506e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,45,150,30,GRU,Close-,5000,166.05,0.26,0.999,0.00035322856274433434,3.8535385101567954e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,46,150,30,GRU,Close-,5000,165.24,0.26,0.999,0.000344552710885182,3.912425381713547e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,47,150,30,GRU,Close-,5000,162.4,0.25,0.999,0.00033825909486040473,3.305137579445727e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,48,150,30,GRU,Close-,5000,164.81,0.26,0.999,0.000333394535118714,3.690482844831422e-05
SavedModels/2,Datasets/BTC-2021-minute.csv,False,49,150,30,GRU,Close-,5000,162.45,0.25,0.999,0.0003249244182370603,3.35954682668671e-05
